1	The Wizard of Oz	1939	OLD
2	The Third Man	1949	OLD
3	Citizen Kane	1941	OLD
4	Das Cabinet des Dr. Caligari.	1920	OLD
5	All About Eve	1950	OLD
6	The Godfather	1972	REGULAR
7	Inside Out	2015	NEW
8	Modern Times	1936	OLD
9	Metropolis	1927	OLD
10	E.T. The Extra-Terrestrial	1982	REGULAR
11	It Happened One Night	1934	OLD
12	Singin' in the Rain	1952	OLD
13	Boyhood	2014	NEW
14	A Hard Day's Night	1964	OLD
15	Snow White and the Seven Dwarfs	1937	OLD
16	Laura	1944	OLD
17	North by Northwest	1959	OLD
18	Repulsion	1965	OLD
19	The Battle of Algiers	1967	OLD
20	King Kong	1933	OLD
21	The Adventures of Robin Hood	1938	OLD
22	The Maltese Falcon	1941	OLD
23	Rear Window	1954	OLD
24	Rashômon	1951	OLD
25	Toy Story 3	2010	NEW
26	Toy Story 2	1999	REGULAR
27	Sunset Boulevard	1950	OLD
28	Selma	2015	NEW
29	The Bride of Frankenstein	1935	OLD
30	M	1931	OLD
31	The Philadelphia Story	1940	OLD
32	Taxi Driver	1976	REGULAR
33	The 400 Blows	1959	OLD
34	Up	2009	NEW
35	Seven Samurai	1956	OLD
36	The Bicycle Thief	1949	OLD
37	The Treasure of the Sierra Madre	1948	OLD
38	12 Angry	1957	OLD
39	Zootopia	2016	NEW
40	A Streetcar Named Desire	1951	OLD
41	Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb	1964	OLD
42	Rebecca	1940	OLD
43	The Night of the Hunter	1955	OLD
44	The Conformist	1970	REGULAR
45	Frankenstein	1931	OLD
46	Rosemary's Baby	1968	OLD
47	Finding Nemo	2003	NEW
48	The Wrestler	2008	NEW
49	L.A. Confidential	1997	REGULAR
50	The Hurt Locker	2009	NEW
51	The Babadook	2014	NEW
52	Tokyo Story	1953	OLD
53	The Last Picture Show	1971	REGULAR
54	The Grapes of Wrath	1940	OLD
55	The Wages of Fear	1953	OLD
56	Roman Holiday	1953	OLD
57	Pinocchio	1940	OLD
58	On the Waterfront	1954	OLD
59	Man on Wire	2008	NEW
60	Toy Story	1995	REGULAR
61	Anatomy of a Murder	1959	OLD
62	The Leopard	1963	OLD
63	Annie Hall	1977	REGULAR
64	Chinatown	1974	REGULAR
65	Cool Hand Luke	1967	OLD
66	Battleship Potemkin	1925	OLD
67	Hell or High Water	2016	NEW
68	Mr. Turner	2014	NEW
69	The Searchers	1956	OLD
70	Before Midnight	2013	NEW
71	The Gold Rush	1925	OLD
72	Sweet Smell of Success	1957	OLD
73	The Terminator	1984	REGULAR
74	Short Term 12	2013	NEW
75	Mary Poppins	1964	OLD
76	Shaun the Sheep Movie	2015	NEW
77	Let the Right One In	2008	NEW
78	The Wild Bunch	1969	OLD
79	Mud	2013	NEW
80	Playtime	1973	REGULAR
81	The French Connection	1971	REGULAR
82	Love & Friendship	2016	NEW
83	Invasion of the Body Snatchers	1956	OLD
84	The Discreet Charm Of The Bourgeoisie	1972	REGULAR
85	Aliens	1986	REGULAR
86	Once Upon a Time in the West	1968	OLD
87	How to Train Your Dragon	2010	NEW
88	Leviathan	2014	NEW
89	Badlands	1974	REGULAR
90	Hunt for the Wilderpeople	2016	NEW
91	Gloria	2014	NEW
92	The Manchurian Candidate	1962	OLD
93	Mean Streets	1973	REGULAR
94	8 1/2	1963	OLD
95	Eyes Without a Face	1962	OLD
96	A Separation	2011	NEW
97	The Conversation	1974	REGULAR
98	The Sweet Hereafter	1997	REGULAR
99	Manhattan	1979	REGULAR
100	Three Colors: Red	1994	REGULAR
